id,tempo_start,tempo_end,chi,organizzazione,cosa,Titolo,sito_web,youtube,twitter,instagram,slide,Timeline,to_tweet,tweet
01,00:00:29,,Paola Masuzzo,,Chair,Introduzione,,https://youtu.be/QOd1SKzxRqA?t=29,pcmasuzzo,,,"00:00:29 | Paola Masuzzo, Introduzione",0,
02,00:05:03,,Isaia Invernizzi,,Speaker,Un anno di pandemia: l'impatto del datajournalism,,https://youtu.be/QOd1SKzxRqA?t=303,EasyInve,,https://drive.google.com/file/d/1bmZbVz-3iWJ4wggSRGGjI_WPAT1hA7Y7/view?usp=sharing,"00:05:03 | Isaia Invernizzi, Un anno di pandemia: l'impatto del datajournalism",1,"📺 @EasyInve | Un anno di pandemia: l'impatto del datajournalism
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=303"
03,00:41:33,,Giorgia Lodi,,Speaker,Il progetto WHOW - Water Health Open knoWledge ,,https://youtu.be/QOd1SKzxRqA?t=2493,GiorgiaLodi,,https://drive.google.com/file/d/1GdIOZcSjXxJV2cQE1szfr2t-qbsIo1j6/view?usp=sharing,"00:41:33 | Giorgia Lodi, Il progetto WHOW - Water Health Open knoWledge ",1,"📺 @GiorgiaLodi | Il progetto WHOW - Water Health Open knoWledge 
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=2493"
04,01:00:25,,Maximilian Ventura,,Speaker,SiciliaMedievale.it: WebGIS e LOD,https://siciliamedievale.it/,https://youtu.be/QOd1SKzxRqA?t=3625,,,https://drive.google.com/file/d/1cnYfnf47K62ZBhnWKkoVL-3P8km3hZzC/view?usp=sharing,"01:00:25 | Maximilian Ventura, SiciliaMedievale.it: WebGIS e LOD",1,"📺 Maximilian Ventura | SiciliaMedievale.it: WebGIS e LOD
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=3625"
05,01:15:47,,Davide Taibi,,Chair,Modera,,https://youtu.be/QOd1SKzxRqA?t=4547,dataibi,,,"01:15:47 | Davide Taibi, Modera",0,
06,01:18:28,,Martina Anello,,Speaker,Datafactor - dal rumore alla conoscenza ,,https://youtu.be/QOd1SKzxRqA?t=4708,,,https://drive.google.com/file/d/1VJR6awzvQCRgodyibb2G883oYPsYi5hn/view?usp=sharing,"01:18:28 | Martina Anello, Datafactor - dal rumore alla conoscenza ",1,"📺 Martina Anello | Datafactor - dal rumore alla conoscenza 
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=4708"
07,01:31:24,,Andrea D'Eramo,,Speaker,Utilizzo di dati pubblici per migliorare il patrimonio informativo delle aziende private,,https://youtu.be/QOd1SKzxRqA?t=5484,AndreaDEramo70,,https://drive.google.com/file/d/1ZBW_XVSr95xxmgpR7gnWwxDGUEOuTfpW/view?usp=sharing,"01:31:24 | Andrea D'Eramo, Utilizzo di dati pubblici per migliorare il patrimonio informativo delle aziende private",1,"📺 @AndreaDEramo70 | Utilizzo di dati pubblici per migliorare il patrimonio informativo delle aziende private
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=5484"
08,01:48:25,,Martino Maggio,,Speaker,Progetto INTERSTAT: un framework per la valorizzazione dei Linked Open Statistical Data,,https://youtu.be/QOd1SKzxRqA?t=6505,blocker99,,https://drive.google.com/file/d/1m_vYNm3jTBWZDCEATG-xwryConkEqKyW/view?usp=sharing,"01:48:25 | Martino Maggio, Progetto INTERSTAT: un framework per la valorizzazione dei Linked Open Statistical Data",1,"📺 @blocker99 | Progetto INTERSTAT: un framework per la valorizzazione dei Linked Open Statistical Data
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=6505"
09,02:17:28,,Maurizio Napolitano,,Speaker,Il decreto “di Natale” in chilometri,,https://youtu.be/QOd1SKzxRqA?t=8248,napo,,https://bit.ly/30cappaODS21,"02:17:28 | Maurizio Napolitano, Il decreto “di Natale” in chilometri",1,"📺 @napo | Il decreto “di Natale” in chilometri
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=8248"
10,02:39:33,,Donata Columbro,,Chair,Modera,,https://youtu.be/QOd1SKzxRqA?t=9573,,,,"02:39:33 | Donata Columbro, Modera",0,
11,02:41:11,,Rossana Coro,,Speaker,Umorismo e data visualisation: due passioni inconciliabili?,,https://youtu.be/QOd1SKzxRqA?t=9671,DatavizSurreal,https://www.instagram.com/surreal_dataviz/,https://drive.google.com/file/d/1QfPNh-y7GvHQL0e5BCLxVQdRwHmU4AnP/view?usp=sharing,"02:41:11 | Rossana Coro, Umorismo e data visualisation: due passioni inconciliabili?",1,"📺 @DatavizSurreal | Umorismo e data visualisation: due passioni inconciliabili?
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=9671"
12,03:00:13,,Angelo Gulina,,Speaker,"Atlas Sicilia. Dati per raccontare distanza, differenza e realtà.",https://atlassicilia.it/,https://youtu.be/QOd1SKzxRqA?t=10813,atlas_sicilia,https://www.instagram.com/atlas.sicilia/,https://drive.google.com/file/d/1B7Hh1UdjkkXJmdSOtKP-u2D1vGdF68cZ/view?usp=sharing,"03:00:13 | Angelo Gulina, Atlas Sicilia. Dati per raccontare distanza, differenza e realtà.",1,"📺 @atlas_sicilia | Atlas Sicilia. Dati per raccontare distanza, differenza e realtà.
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=10813"
13,03:17:58,,Silvia Spacca e Leonardo Zanchi,,Speaker,"Cartografia 3D: un viaggio attraverso il tempo e lo spazio, ostacolato dalle licenze",https://www.vizart.io/,https://youtu.be/QOd1SKzxRqA?t=11878,hellovizart,https://www.instagram.com/hellovizart/,https://lezan.github.io/ods2021/,"03:17:58 | Silvia Spacca e Leonardo Zanchi, Cartografia 3D: un viaggio attraverso il tempo e lo spazio, ostacolato dalle licenze",1,"📺 @hellovizart | Cartografia 3D: un viaggio attraverso il tempo e lo spazio, ostacolato dalle licenze
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=11878"
14,03:36:19,,INTERVALLO,,Altro,,,https://youtu.be/QOd1SKzxRqA?t=12979,,,,03:36:19 | INTERVALLO,0,
15,04:31:02,,Andrea Borruso,,Chair,Modera,,https://youtu.be/QOd1SKzxRqA?t=16262,aborruso,,,"04:31:02 | Andrea Borruso, Modera",0,
16,04:36:19,,Nino Galante,,Speaker,Quale tipo di informazione per il cittadino?,,https://youtu.be/QOd1SKzxRqA?t=16579,picomiles,,https://drive.google.com/file/d/13TkCEvR7wZdOUi8UL_rUYO0y4ja_35GP/view?usp=sharing,"04:36:19 | Nino Galante, Quale tipo di informazione per il cittadino?",1,"📺 @picomiles | Quale tipo di informazione per il cittadino?
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=16579"
17,04:43:36,,Dennis Angemi,,Speaker,Quale tipo di informazione per il cittadino?,,https://youtu.be/QOd1SKzxRqA?t=17016,DennisAngemi,,https://drive.google.com/file/d/1K8alTad-Oh2aHcY_a89gYhNTQ2A5-u_U/view?usp=sharing,"04:43:36 | Dennis Angemi, Quale tipo di informazione per il cittadino?",1,"📺 @DennisAngemi | Quale tipo di informazione per il cittadino?
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=17016"
18,04:49:45,,Umberto Rosini,,Speaker,"I dati COVID-19, il rapporto con le community, organizzazioni e società civile; l'opportunità di riaffermare la necessità dei dati della Pubblica Amministrazione",,https://youtu.be/QOd1SKzxRqA?t=17385,umbr0s,,https://drive.google.com/file/d/13ibO0kpRjr_jBTGpPqklk7OCezIIjhps/view?usp=sharing,"04:49:45 | Umberto Rosini, I dati COVID-19, il rapporto con le community, organizzazioni e società civile; l'opportunità di riaffermare la necessità dei dati della Pubblica Amministrazione",1,"📺 @umbr0s | I dati COVID-19, il rapporto con le community, organizzazioni e società civile; l'opportunità di riaffermare la necessità dei dati della Pubblica Amministrazione
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=17385"
19,05:08:35,,Valentina Bazzarin,,Speaker,Dati per contare: dati e indicatori di impatto di genere,,https://youtu.be/QOd1SKzxRqA?t=18515,VBazzarin,,https://drive.google.com/file/d/1TyeUwO1AQ3Lu8SmzqL2e8AKkYkorVghG/view?usp=sharing,"05:08:35 | Valentina Bazzarin, Dati per contare: dati e indicatori di impatto di genere",1,"📺 @VBazzarin | Dati per contare: dati e indicatori di impatto di genere
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=18515"
20,05:36:53,,Paola Masuzzo,,Chair,Modera,,https://youtu.be/QOd1SKzxRqA?t=20213,pcmasuzzo,,,"05:36:53 | Paola Masuzzo, Modera",0,
21,05:38:31,,Luca Corsato,,Speaker,Fiducia in quantità ,,https://youtu.be/QOd1SKzxRqA?t=20311,lucacorsato,, http://doi.org/10.5281/zenodo.4694568 ,"05:38:31 | Luca Corsato, Fiducia in quantità ",1,"📺 @lucacorsato | Fiducia in quantità 
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=20311"
22,05:52:27,,Nino Galante,,Chair,Modera,,https://youtu.be/QOd1SKzxRqA?t=21147,picomiles,,,"05:52:27 | Nino Galante, Modera",0,
23,05:52:57,,Ludovica Ioppolo,,Speaker,"L’uso dei beni confiscati, oltre gli open data: un focus sui comuni di Palermo e Bari",,https://youtu.be/QOd1SKzxRqA?t=21177,ludovicaioppolo,,https://drive.google.com/file/d/1n3hCBwtXU4aif6VG_Yv7jZsHKMNfX7Cc/view?usp=sharing,"05:52:57 | Ludovica Ioppolo, L’uso dei beni confiscati, oltre gli open data: un focus sui comuni di Palermo e Bari",1,"📺 @ludovicaioppolo | L’uso dei beni confiscati, oltre gli open data: un focus sui comuni di Palermo e Bari
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=21177"
24,06:09:05,,Roberto Reale e Andrea Danieli,,Speaker,Appalti pubblici e digitalizzazione: a che punto siamo? ,,https://youtu.be/QOd1SKzxRqA?t=22145,Reale_EU,,https://drive.google.com/file/d/176cEFaAx25QiWVW1l_wnGvSk7I2K-iNc/view?usp=sharing,"06:09:05 | Roberto Reale e Andrea Danieli, Appalti pubblici e digitalizzazione: a che punto siamo? ",1,"📺 @Reale_EU | Appalti pubblici e digitalizzazione: a che punto siamo? 
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=22145"
26,06:25:03,,Giuseppe D'Avella,,Speaker,"I dati sui fondi per la democrazia partecipata in Sicilia (dal progetto ""Spendiamoli Insieme"")",,https://youtu.be/QOd1SKzxRqA?t=23103,Giu_D,,https://drive.google.com/file/d/1SzoQ4AY893RJSrIRs4_JkmQOv9hBFJ5Z/view?usp=sharing,"06:25:03 | Giuseppe D'Avella, I dati sui fondi per la democrazia partecipata in Sicilia (dal progetto ""Spendiamoli Insieme"")",1,"📺 @Giu_D | I dati sui fondi per la democrazia partecipata in Sicilia (dal progetto ""Spendiamoli Insieme"")
#ODS2021 di @opendatasicilia
https://youtu.be/QOd1SKzxRqA?t=23103"
27,06:43:48,,Francesca Gleria,,Chair,Modera,,https://youtu.be/QOd1SKzxRqA?t=24228,,,,"06:43:48 | Francesca Gleria, Modera",0,
